file_size iteration peer duration
100 37 5 28145773
100 37 6 28154338
100 37 7 28159951
100 37 8 28166304
1 38 0 38228
1 38 1 37561
1 38 2 37391
1 38 3 38200
1 38 4 38634
1 38 5 43319
1 38 6 43950
1 38 7 44790
1 38 8 45646
50 38 0 14070807
50 38 1 14071985
50 38 2 14086367
50 38 3 14091214
50 38 4 14098540
50 38 5 14103512
50 38 6 14105337
50 38 7 14105432
50 38 8 14114110
100 38 0 28330445
100 38 1 28335986
100 38 2 29120522
100 38 3 29129625
100 38 4 29129275
100 38 5 29139001
100 38 6 29142774
100 38 7 29144366
100 38 8 29154556
1 39 0 37878
1 39 1 36789
1 39 2 37698
1 39 3 42694
1 39 4 42822
1 39 5 43942
1 39 6 44400
1 39 7 1027350
1 39 8 1027510
50 39 0 14083883
50 39 1 14093790
50 39 2 14094939
50 39 3 14097873
50 39 4 14098672
50 39 5 14098500
50 39 6 15090295
50 39 7 15106719
50 39 8 15111555
100 39 0 28159679
100 39 1 28174684
100 39 2 28175759
100 39 3 28186157
100 39 4 29161010
100 39 5 29162052
100 39 6 29161797
100 39 7 29165550
100 39 8 29173253
1 40 0 39226
1 40 1 38371
1 40 2 40139
1 40 3 39307
1 40 4 42010
1 40 5 43469
1 40 6 45487
1 40 7 45447
1 40 8 46748
50 40 0 14083647
50 40 1 14099759
50 40 2 14109885
50 40 3 14113891
50 40 4 14114883
50 40 5 14300399
50 40 6 15097953
50 40 7 15113090
50 40 8 15115170
100 40 0 28106764
100 40 1 28126608
100 40 2 28139856
100 40 3 28142257
100 40 4 28169132
100 40 5 28337208
100 40 6 28371614
100 40 7 29144559
100 40 8 29158236
1 41 0 40878
1 41 1 1033013
1 41 2 1037360
1 41 3 1038072
1 41 4 1038594
1 41 5 1039409
1 41 6 1043277
1 41 7 1046629
1 41 8 1048727
50 41 0 14089396
50 41 1 14099611
50 41 2 14100898
50 41 3 14102658
50 41 4 14104768
50 41 5 14105600
50 41 6 14107914
50 41 7 14111382
50 41 8 14308332
100 41 0 28119258
100 41 1 28130460
100 41 2 28140291
100 41 3 28142082
100 41 4 28145995
100 41 5 28144434
100 41 6 28154267
100 41 7 28154450
100 41 8 29136036
1 42 0 37911
1 42 1 1028648
1 42 2 1030711
1 42 3 1035242
1 42 4 1038688
1 42 5 1038141
1 42 6 1038481
1 42 7 1040874
1 42 8 1046076
50 42 0 14087571
50 42 1 14094804
50 42 2 14101347
50 42 3 14111879
50 42 4 14294833
50 42 5 15095379
50 42 6 15099340
50 42 7 15103328
50 42 8 15111014
100 42 0 28131548
100 42 1 28134342
100 42 2 28146326
100 42 3 28151599
100 42 4 28155124
100 42 5 28157446
100 42 6 28158007
100 42 7 28167552
100 42 8 28170894
1 43 0 40235
1 43 1 1041437
1 43 2 1042351
1 43 3 1041899
1 43 4 1042973
1 43 5 1047598
1 43 6 1049375
1 43 7 1049303
1 43 8 1051481
50 43 0 14044425
50 43 1 14052545
50 43 2 14078692
50 43 3 14088134
50 43 4 14099763
50 43 5 14100431
50 43 6 14101896
50 43 7 15085637
50 43 8 15097323
100 43 0 28117619
100 43 1 28136134
100 43 2 28139435
100 43 3 28140358
100 43 4 28145806
100 43 5 28166713
100 43 6 29146106
100 43 7 29142704
100 43 8 29159789
1 44 0 39059
1 44 1 1035427
1 44 2 1037515
1 44 3 1040033
1 44 4 1040851
1 44 5 1040800
1 44 6 1041560
1 44 7 1042590
1 44 8 1043021
50 44 0 14083554
50 44 1 14276678
50 44 2 15087938
50 44 3 15097162
50 44 4 15098711
50 44 5 15115476
50 44 6 15116603
50 44 7 15119249
50 44 8 15122130
100 44 0 28151065
100 44 1 28159883
100 44 2 28163867
100 44 3 28164447
100 44 4 28167742
100 44 5 28169212
100 44 6 28171951
100 44 7 28174507
100 44 8 28176124
1 45 0 38909
1 45 1 37857
1 45 2 41034
1 45 3 42094
1 45 4 42112
1 45 5 46282
1 45 6 46209
1 45 7 48358
1 45 8 49064
50 45 0 14085198
50 45 1 14096262
50 45 2 14094581
50 45 3 14105184
50 45 4 14110474
50 45 5 14109522
50 45 6 14113252
50 45 7 15103710
50 45 8 15109236
100 45 0 28136431
100 45 1 28140247
100 45 2 28144881
100 45 3 28149769
100 45 4 28161357
100 45 5 28165848
100 45 6 28166539
100 45 7 28171080
100 45 8 28172251
1 46 0 38487
1 46 1 1035465
1 46 2 1038734
1 46 3 1039264
1 46 4 1041880
1 46 5 1043991
1 46 6 1045557
1 46 7 1045551
1 46 8 1046262
50 46 0 14064305
50 46 1 14067185
50 46 2 14070044
50 46 3 14072682
50 46 4 14078518
50 46 5 14090000
50 46 6 14087199
50 46 7 14119329
50 46 8 14292383
100 46 0 28108232
100 46 1 28128701
100 46 2 28135548
100 46 3 28141946
100 46 4 28148400
100 46 5 28149819
100 46 6 28157427
100 46 7 28339277
100 46 8 29140878
1 47 0 38980
1 47 1 1032908
1 47 2 1035581
1 47 3 1036421
1 47 4 1037039
1 47 5 1038404
1 47 6 1041954
1 47 7 1043767
1 47 8 1048199
50 47 0 14081207
50 47 1 14082046
50 47 2 14094049
50 47 3 14094609
50 47 4 14107659
50 47 5 14291080
50 47 6 15084292
50 47 7 15089258
50 47 8 15100328
100 47 0 28120878
100 47 1 28126765
100 47 2 29132784
100 47 3 29132633
100 47 4 29133276
100 47 5 29137637
100 47 6 29136254
100 47 7 29138786
100 47 8 29151344
1 48 0 38124
1 48 1 39160
1 48 2 41266
1 48 3 42348
1 48 4 42657
1 48 5 44401
1 48 6 43029
1 48 7 1026808
1 48 8 1027275
50 48 0 14078534
50 48 1 14093267
50 48 2 14097320
50 48 3 14101183
50 48 4 14103062
50 48 5 14104417
50 48 6 14107034
50 48 7 14112024
50 48 8 14120276
100 48 0 28127164
100 48 1 28130394
100 48 2 28139373
100 48 3 28143812
100 48 4 28147199
100 48 5 28147655
100 48 6 28148781
100 48 7 28167718
100 48 8 28170475
1 49 0 38323
1 49 1 40974
1 49 2 39112
1 49 3 43987
1 49 4 41001
1 49 5 41196
1 49 6 44489
1 49 7 45207
1 49 8 47111
50 49 0 14076728
50 49 1 14086703
50 49 2 14087343
50 49 3 14087459
50 49 4 14097949
50 49 5 14103406
50 49 6 14102092
50 49 7 14114324
50 49 8 14297912
100 49 0 29146935
100 49 1 29154564
100 49 2 29157959
100 49 3 29161546
100 49 4 29167329
100 49 5 29170870
100 49 6 29171609
100 49 7 29175113
100 49 8 29180074
1 50 0 39763
1 50 1 1031726
1 50 2 1034612
1 50 3 1035598
1 50 4 1037078
1 50 5 1036649
1 50 6 1040401
1 50 7 1041795
1 50 8 1042013
50 50 0 15082782
50 50 1 15074912
50 50 2 15080078
50 50 3 15083424
50 50 4 15084915
50 50 5 15085637
50 50 6 15094031
50 50 7 15098673
50 50 8 15103271
100 50 0 28142438
100 50 1 28142373
100 50 2 28142324
100 50 3 28145042
100 50 4 28145066
100 50 5 28147410
100 50 6 28165110
100 50 7 28161028
100 50 8 28171290
1 51 0 37224
1 51 1 39017
1 51 2 39670
1 51 3 45123
1 51 4 41345
1 51 5 42116
1 51 6 45147
1 51 7 46265
1 51 8 48433
50 51 0 14063811
50 51 1 14068731
50 51 2 14083434
50 51 3 14093039
50 51 4 14093814
50 51 5 14095214
50 51 6 14095290
